Event Name,Start Date,End Date,Location,Event Type,Delivery Method
Arkansas Conference of Technology (ACOT),10/18/2022,10/21/2022,"Little Rock, AR",Conference / Retreat,In-Person
Minnesota Chrome Technical Workshop,10/13/2022,10/13/2022,"Edina, MN",Technical Workshop,In-Person
Amplified Admin Level 1,10/06/2022,10/06/2022,"Waco, TX",Admin Bootcamp,In-Person
ESC Region 14 Custom Technical Workshop,07/28/2022,07/28/2022,"Abilene, TX",Custom Training,In-Person
Amplified Admin Level 1,07/26/2022,07/26/2022,,Admin Bootcamp,Virtual
Atlanta Chrome Technical Workshop,12/13/2023,12/13/2023,"Atlanta, GA",Technical Workshop,In-Person
ESC Region 8 Level 1 ,11/16/2023,11/16/2023,"Pittsburg, TX",Admin Bootcamp,In-Person
CNYRIC Level 1 & Level 2 Bootcamp,10/19/2023,10/24/2023,"Syracuse, NY",Admin Bootcamp,In-Person
Tennessee Security Summit,09/26/2023,09/26/2023,"Brentwood, TN",Security Summit,In-Person
Texas Security Summit,06/08/2023,06/08/2023,"Austin, TX",Security Summit,In-Person
New Hampshire CTO Clinic,05/31/2023,05/31/2023,,Admin Best Practices,Virtual
Amplified Admin Level 1,05/19/2023,05/19/2023,"Chicago Heights, IL",Admin Bootcamp,In-Person
Hawaii Department of Education (HIDOE) Google Technical Workshops,05/01/2023,05/01/2023,Hawaii,Deep Dive Training,In-Person
Secure the School Digital Event,04/19/2023,04/19/2023,,Webinar,Virtual
MECA,02/08/2023,02/10/2023,"Jackson, MI",Conference Session,In-Person
TCEA ,01/30/2023,02/02/2023,"San Antonio, TX",Conference Session,In-Person
Texas Chrome and Gemini Technical Workshop,12/17/2024,12/17/2024,"Houston, TX",Technical Workshop,In-Person
Nassau BOCES Security Summit,12/12/2024,12/12/2024,"Westbury, NY",Security Summit,In-Person
Virtual Security Summit,11/20/2024,11/20/2024,,Security Summit,Virtual
Paterson Chrome and Gemini Technical Workshop,10/08/2024,10/08/2024,"Paterson, NJ",Technical Workshop,In-Person
Western Suffolk BOCES Security Summit,05/29/2024,05/29/2024,"Wheatley Heights, NY",Security Summit,In-Person
Springfield Security Summit,05/22/2024,05/22/2024,"Springfield, MO",Security Summit,In-Person
ESC 8 Level 2 Bootcamp,05/16/2024,05/16/2024,"Pittsburg, TX",Admin Bootcamp,In-Person
LTC/ROE #3 Level 1 Bootcamp,04/10/2024,04/10/2024,"Litchfield, IL",Admin Bootcamp,In-Person
ATLIS 2024 Security Workshop,04/01/2024,04/01/2024,"Reno, NV",Conference Session,In-Person
Ontario Collaborative Meetup,02/23/2024,02/23/2024,,Meetup,Virtual
TCEA 2024 Security Workshop,02/01/2024,02/01/2024,"Austin, TX",Conference Session,In-Person
Brainstorm OH 2024,02/01/2024,02/01/2024,"Sandusky, OH",Conference Session,In-Person
FETC,01/14/2025,01/17/2025,"Orlando, FL",Conference,In-person
TCEA,02/01/2025,02/05/2025,"Austin, TX, USA",Conference,In-person
Virtual Security Summit,03/04/2025,03/04/2025,,Full-Day Technical,Virtual
Brainstorm WI Dells,03/09/2025,03/11/2025,"Wisconsin Dells, WI",Conference,In-person
Springfield R-Xii School District (MO) Level 1 Bootcamp,03/25/2025,03/25/2025,"Springfield, MO, USA",Full-Day Technical,In-person
Virtual Level 2 Google Admin Bootcamp,03/27/2025,03/27/2025,,Full-Day Technical,Virtual
IT Focused Gemini Session,04/01/2025,04/01/2025,,Half-Day Workshop,Virtual
Security Summit,04/03/2025,04/03/2025,"Syracuse, NY",Full-Day Technical,In-Person
San Antonio ISD Gemini Workshop,04/17/2025,04/17/2025,"San Antonio, TX",Full-Day Workshop,In-Person
KY Gemini Workshop,04/22/2025,04/22/2025,"Pikeville, KY",Full-Day Workshop,In-Person
CA Gemini Workshop,05/01/2025,05/01/2025,"Riverside, CA",Full-Day Workshop,In-Person
Peculiar MO Gemini Workshop,05/20/2025,05/20/2025,"Kansas City, MO",Full-Day Workshop,In-Person
OKC Gemini Workshop,05/22/2025,05/22/2025,"Oklahoma City, OK",Full-Day Workshop,In-Person
Virtual Level 1 Google Admin Bootcamp,06/05/2025,06/05/2025,,Full-Day Technical,Virtual
